Sexo	Provincias	Municipios	Edad (grupos quinquenales)	Periodo	Total
Total	28 Madrid	28078 Madarcos	De 75 a 79 años  	1 de enero de 2022	2
Total	28 Madrid	28078 Madarcos	De 80 a 84 años  	1 de enero de 2022	6
Total	28 Madrid	28078 Madarcos	De 85 a 89 años  	1 de enero de 2022	2
Total	28 Madrid	28078 Madarcos	De 90 a 94 años  	1 de enero de 2022	1
Total	28 Madrid	28078 Madarcos	De 95 a 99 años  	1 de enero de 2022	0
Total	28 Madrid	28078 Madarcos	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28079 Madrid	De 65 a 69 años	1 de enero de 2022	159.972
Total	28 Madrid	28079 Madrid	De 70 a 74 años  	1 de enero de 2022	143.054
Total	28 Madrid	28079 Madrid	De 75 a 79 años  	1 de enero de 2022	129.827
Total	28 Madrid	28079 Madrid	De 80 a 84 años  	1 de enero de 2022	98.500
Total	28 Madrid	28079 Madrid	De 85 a 89 años  	1 de enero de 2022	82.181
Total	28 Madrid	28079 Madrid	De 90 a 94 años  	1 de enero de 2022	40.264
Total	28 Madrid	28079 Madrid	De 95 a 99 años  	1 de enero de 2022	10.733
Total	28 Madrid	28079 Madrid	100 y más años	1 de enero de 2022	1.616
Total	28 Madrid	28080 Majadahonda	De 65 a 69 años	1 de enero de 2022	3.442
Total	28 Madrid	28080 Majadahonda	De 70 a 74 años  	1 de enero de 2022	3.494
Total	28 Madrid	28080 Majadahonda	De 75 a 79 años  	1 de enero de 2022	2.702
Total	28 Madrid	28080 Majadahonda	De 80 a 84 años  	1 de enero de 2022	1.509
Total	28 Madrid	28080 Majadahonda	De 85 a 89 años  	1 de enero de 2022	945
Total	28 Madrid	28080 Majadahonda	De 90 a 94 años  	1 de enero de 2022	449
Total	28 Madrid	28080 Majadahonda	De 95 a 99 años  	1 de enero de 2022	134
Total	28 Madrid	28080 Majadahonda	100 y más años	1 de enero de 2022	33
Total	28 Madrid	28082 Manzanares el Real	De 65 a 69 años	1 de enero de 2022	333
Total	28 Madrid	28082 Manzanares el Real	De 70 a 74 años  	1 de enero de 2022	320
Total	28 Madrid	28082 Manzanares el Real	De 75 a 79 años  	1 de enero de 2022	218
Total	28 Madrid	28082 Manzanares el Real	De 80 a 84 años  	1 de enero de 2022	169
Total	28 Madrid	28082 Manzanares el Real	De 85 a 89 años  	1 de enero de 2022	99
Total	28 Madrid	28082 Manzanares el Real	De 90 a 94 años  	1 de enero de 2022	55
Total	28 Madrid	28082 Manzanares el Real	De 95 a 99 años  	1 de enero de 2022	17
Total	28 Madrid	28082 Manzanares el Real	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28083 Meco	De 65 a 69 años	1 de enero de 2022	530
Total	28 Madrid	28083 Meco	De 70 a 74 años  	1 de enero de 2022	321
Total	28 Madrid	28083 Meco	De 75 a 79 años  	1 de enero de 2022	211
Total	28 Madrid	28083 Meco	De 80 a 84 años  	1 de enero de 2022	130
Total	28 Madrid	28083 Meco	De 85 a 89 años  	1 de enero de 2022	100
Total	28 Madrid	28083 Meco	De 90 a 94 años  	1 de enero de 2022	49
Total	28 Madrid	28083 Meco	De 95 a 99 años  	1 de enero de 2022	9
Total	28 Madrid	28083 Meco	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28084 Mejorada del Campo	De 65 a 69 años	1 de enero de 2022	1.344
Total	28 Madrid	28084 Mejorada del Campo	De 70 a 74 años  	1 de enero de 2022	866
Total	28 Madrid	28084 Mejorada del Campo	De 75 a 79 años  	1 de enero de 2022	501
Total	28 Madrid	28084 Mejorada del Campo	De 80 a 84 años  	1 de enero de 2022	255
Total	28 Madrid	28084 Mejorada del Campo	De 85 a 89 años  	1 de enero de 2022	218
Total	28 Madrid	28084 Mejorada del Campo	De 90 a 94 años  	1 de enero de 2022	106
Total	28 Madrid	28084 Mejorada del Campo	De 95 a 99 años  	1 de enero de 2022	27
Total	28 Madrid	28084 Mejorada del Campo	100 y más años	1 de enero de 2022	3
Total	28 Madrid	28085 Miraflores de la Sierra	De 65 a 69 años	1 de enero de 2022	299
Total	28 Madrid	28085 Miraflores de la Sierra	De 70 a 74 años  	1 de enero de 2022	214
Total	28 Madrid	28085 Miraflores de la Sierra	De 75 a 79 años  	1 de enero de 2022	198
Total	28 Madrid	28085 Miraflores de la Sierra	De 80 a 84 años  	1 de enero de 2022	145
Total	28 Madrid	28085 Miraflores de la Sierra	De 85 a 89 años  	1 de enero de 2022	79
Total	28 Madrid	28085 Miraflores de la Sierra	De 90 a 94 años  	1 de enero de 2022	44
Total	28 Madrid	28085 Miraflores de la Sierra	De 95 a 99 años  	1 de enero de 2022	7
Total	28 Madrid	28085 Miraflores de la Sierra	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28086 Molar, El	De 65 a 69 años	1 de enero de 2022	353
Total	28 Madrid	28086 Molar, El	De 70 a 74 años  	1 de enero de 2022	285
Total	28 Madrid	28086 Molar, El	De 75 a 79 años  	1 de enero de 2022	210
Total	28 Madrid	28086 Molar, El	De 80 a 84 años  	1 de enero de 2022	133
Total	28 Madrid	28086 Molar, El	De 85 a 89 años  	1 de enero de 2022	99
Total	28 Madrid	28086 Molar, El	De 90 a 94 años  	1 de enero de 2022	62
Total	28 Madrid	28086 Molar, El	De 95 a 99 años  	1 de enero de 2022	9
Total	28 Madrid	28086 Molar, El	100 y más años	1 de enero de 2022	5
Total	28 Madrid	28087 Molinos, Los	De 65 a 69 años	1 de enero de 2022	267
Total	28 Madrid	28087 Molinos, Los	De 70 a 74 años  	1 de enero de 2022	189
Total	28 Madrid	28087 Molinos, Los	De 75 a 79 años  	1 de enero de 2022	175
Total	28 Madrid	28087 Molinos, Los	De 80 a 84 años  	1 de enero de 2022	122
Total	28 Madrid	28087 Molinos, Los	De 85 a 89 años  	1 de enero de 2022	96
Total	28 Madrid	28087 Molinos, Los	De 90 a 94 años  	1 de enero de 2022	57
Total	28 Madrid	28087 Molinos, Los	De 95 a 99 años  	1 de enero de 2022	12
Total	28 Madrid	28087 Molinos, Los	100 y más años	1 de enero de 2022	3
Total	28 Madrid	28088 Montejo de la Sierra	De 65 a 69 años	1 de enero de 2022	13
Total	28 Madrid	28088 Montejo de la Sierra	De 70 a 74 años  	1 de enero de 2022	19
Total	28 Madrid	28088 Montejo de la Sierra	De 75 a 79 años  	1 de enero de 2022	18
Total	28 Madrid	28088 Montejo de la Sierra	De 80 a 84 años  	1 de enero de 2022	22
Total	28 Madrid	28088 Montejo de la Sierra	De 85 a 89 años  	1 de enero de 2022	12
Total	28 Madrid	28088 Montejo de la Sierra	De 90 a 94 años  	1 de enero de 2022	15
Total	28 Madrid	28088 Montejo de la Sierra	De 95 a 99 años  	1 de enero de 2022	5
Total	28 Madrid	28088 Montejo de la Sierra	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28089 Moraleja de Enmedio	De 65 a 69 años	1 de enero de 2022	281
Total	28 Madrid	28089 Moraleja de Enmedio	De 70 a 74 años  	1 de enero de 2022	171
Total	28 Madrid	28089 Moraleja de Enmedio	De 75 a 79 años  	1 de enero de 2022	121
Total	28 Madrid	28089 Moraleja de Enmedio	De 80 a 84 años  	1 de enero de 2022	73
Total	28 Madrid	28089 Moraleja de Enmedio	De 85 a 89 años  	1 de enero de 2022	72
Total	28 Madrid	28089 Moraleja de Enmedio	De 90 a 94 años  	1 de enero de 2022	29
Total	28 Madrid	28089 Moraleja de Enmedio	De 95 a 99 años  	1 de enero de 2022	8
Total	28 Madrid	28089 Moraleja de Enmedio	100 y más años	1 de enero de 2022	3
Total	28 Madrid	28090 Moralzarzal	De 65 a 69 años	1 de enero de 2022	551
Total	28 Madrid	28090 Moralzarzal	De 70 a 74 años  	1 de enero de 2022	424
Total	28 Madrid	28090 Moralzarzal	De 75 a 79 años  	1 de enero de 2022	398
Total	28 Madrid	28090 Moralzarzal	De 80 a 84 años  	1 de enero de 2022	225
Total	28 Madrid	28090 Moralzarzal	De 85 a 89 años  	1 de enero de 2022	173
Total	28 Madrid	28090 Moralzarzal	De 90 a 94 años  	1 de enero de 2022	85
Total	28 Madrid	28090 Moralzarzal	De 95 a 99 años  	1 de enero de 2022	26
Total	28 Madrid	28090 Moralzarzal	100 y más años	1 de enero de 2022	4
Total	28 Madrid	28091 Morata de Tajuña	De 65 a 69 años	1 de enero de 2022	394
Total	28 Madrid	28091 Morata de Tajuña	De 70 a 74 años  	1 de enero de 2022	321
Total	28 Madrid	28091 Morata de Tajuña	De 75 a 79 años  	1 de enero de 2022	261
Total	28 Madrid	28091 Morata de Tajuña	De 80 a 84 años  	1 de enero de 2022	178
Total	28 Madrid	28091 Morata de Tajuña	De 85 a 89 años  	1 de enero de 2022	152
Total	28 Madrid	28091 Morata de Tajuña	De 90 a 94 años  	1 de enero de 2022	103
Total	28 Madrid	28091 Morata de Tajuña	De 95 a 99 años  	1 de enero de 2022	27
Total	28 Madrid	28091 Morata de Tajuña	100 y más años	1 de enero de 2022	5
Total	28 Madrid	28092 Móstoles	De 65 a 69 años	1 de enero de 2022	14.377
Total	28 Madrid	28092 Móstoles	De 70 a 74 años  	1 de enero de 2022	14.352
Total	28 Madrid	28092 Móstoles	De 75 a 79 años  	1 de enero de 2022	8.748
Total	28 Madrid	28092 Móstoles	De 80 a 84 años  	1 de enero de 2022	4.186
Total	28 Madrid	28092 Móstoles	De 85 a 89 años  	1 de enero de 2022	2.576
Total	28 Madrid	28092 Móstoles	De 90 a 94 años  	1 de enero de 2022	1.156
Total	28 Madrid	28092 Móstoles	De 95 a 99 años  	1 de enero de 2022	358
Total	28 Madrid	28092 Móstoles	100 y más años	1 de enero de 2022	65
Total	28 Madrid	28093 Navacerrada	De 65 a 69 años	1 de enero de 2022	177
Total	28 Madrid	28093 Navacerrada	De 70 a 74 años  	1 de enero de 2022	150
Total	28 Madrid	28093 Navacerrada	De 75 a 79 años  	1 de enero de 2022	112
Total	28 Madrid	28093 Navacerrada	De 80 a 84 años  	1 de enero de 2022	80
Total	28 Madrid	28093 Navacerrada	De 85 a 89 años  	1 de enero de 2022	71
Total	28 Madrid	28093 Navacerrada	De 90 a 94 años  	1 de enero de 2022	19
Total	28 Madrid	28093 Navacerrada	De 95 a 99 años  	1 de enero de 2022	10
Total	28 Madrid	28093 Navacerrada	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28094 Navalafuente	De 65 a 69 años	1 de enero de 2022	77
Total	28 Madrid	28094 Navalafuente	De 70 a 74 años  	1 de enero de 2022	44
Total	28 Madrid	28094 Navalafuente	De 75 a 79 años  	1 de enero de 2022	32
Total	28 Madrid	28094 Navalafuente	De 80 a 84 años  	1 de enero de 2022	20
Total	28 Madrid	28094 Navalafuente	De 85 a 89 años  	1 de enero de 2022	15
Total	28 Madrid	28094 Navalafuente	De 90 a 94 años  	1 de enero de 2022	10
Total	28 Madrid	28094 Navalafuente	De 95 a 99 años  	1 de enero de 2022	2
Total	28 Madrid	28094 Navalafuente	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28095 Navalagamella	De 65 a 69 años	1 de enero de 2022	115
Total	28 Madrid	28095 Navalagamella	De 70 a 74 años  	1 de enero de 2022	105
Total	28 Madrid	28095 Navalagamella	De 75 a 79 años  	1 de enero de 2022	55
Total	28 Madrid	28095 Navalagamella	De 80 a 84 años  	1 de enero de 2022	56
Total	28 Madrid	28095 Navalagamella	De 85 a 89 años  	1 de enero de 2022	27
Total	28 Madrid	28095 Navalagamella	De 90 a 94 años  	1 de enero de 2022	14
Total	28 Madrid	28095 Navalagamella	De 95 a 99 años  	1 de enero de 2022	6
Total	28 Madrid	28095 Navalagamella	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28096 Navalcarnero	De 65 a 69 años	1 de enero de 2022	1.078
Total	28 Madrid	28096 Navalcarnero	De 70 a 74 años  	1 de enero de 2022	940
Total	28 Madrid	28096 Navalcarnero	De 75 a 79 años  	1 de enero de 2022	671
Total	28 Madrid	28096 Navalcarnero	De 80 a 84 años  	1 de enero de 2022	454
Total	28 Madrid	28096 Navalcarnero	De 85 a 89 años  	1 de enero de 2022	418
Total	28 Madrid	28096 Navalcarnero	De 90 a 94 años  	1 de enero de 2022	213
Total	28 Madrid	28096 Navalcarnero	De 95 a 99 años  	1 de enero de 2022	69
Total	28 Madrid	28096 Navalcarnero	100 y más años	1 de enero de 2022	15
Total	28 Madrid	28097 Navarredonda y San Mamés	De 65 a 69 años	1 de enero de 2022	19
Total	28 Madrid	28097 Navarredonda y San Mamés	De 70 a 74 años  	1 de enero de 2022	4
Total	28 Madrid	28097 Navarredonda y San Mamés	De 75 a 79 años  	1 de enero de 2022	8
Total	28 Madrid	28097 Navarredonda y San Mamés	De 80 a 84 años  	1 de enero de 2022	3
Total	28 Madrid	28097 Navarredonda y San Mamés	De 85 a 89 años  	1 de enero de 2022	5
Total	28 Madrid	28097 Navarredonda y San Mamés	De 90 a 94 años  	1 de enero de 2022	2
Total	28 Madrid	28097 Navarredonda y San Mamés	De 95 a 99 años  	1 de enero de 2022	0
Total	28 Madrid	28097 Navarredonda y San Mamés	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28099 Navas del Rey	De 65 a 69 años	1 de enero de 2022	144
Total	28 Madrid	28099 Navas del Rey	De 70 a 74 años  	1 de enero de 2022	148
Total	28 Madrid	28099 Navas del Rey	De 75 a 79 años  	1 de enero de 2022	122
Total	28 Madrid	28099 Navas del Rey	De 80 a 84 años  	1 de enero de 2022	71
Total	28 Madrid	28099 Navas del Rey	De 85 a 89 años  	1 de enero de 2022	61
Total	28 Madrid	28099 Navas del Rey	De 90 a 94 años  	1 de enero de 2022	36
Total	28 Madrid	28099 Navas del Rey	De 95 a 99 años  	1 de enero de 2022	8
Total	28 Madrid	28099 Navas del Rey	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28100 Nuevo Baztán	De 65 a 69 años	1 de enero de 2022	364
Total	28 Madrid	28100 Nuevo Baztán	De 70 a 74 años  	1 de enero de 2022	255
Total	28 Madrid	28100 Nuevo Baztán	De 75 a 79 años  	1 de enero de 2022	160
Total	28 Madrid	28100 Nuevo Baztán	De 80 a 84 años  	1 de enero de 2022	84
Total	28 Madrid	28100 Nuevo Baztán	De 85 a 89 años  	1 de enero de 2022	58
Total	28 Madrid	28100 Nuevo Baztán	De 90 a 94 años  	1 de enero de 2022	26
Total	28 Madrid	28100 Nuevo Baztán	De 95 a 99 años  	1 de enero de 2022	6
Total	28 Madrid	28100 Nuevo Baztán	100 y más años	1 de enero de 2022	2
Total	28 Madrid	28101 Olmeda de las Fuentes	De 65 a 69 años	1 de enero de 2022	13
Total	28 Madrid	28101 Olmeda de las Fuentes	De 70 a 74 años  	1 de enero de 2022	13
Total	28 Madrid	28101 Olmeda de las Fuentes	De 75 a 79 años  	1 de enero de 2022	8
Total	28 Madrid	28101 Olmeda de las Fuentes	De 80 a 84 años  	1 de enero de 2022	7
Total	28 Madrid	28101 Olmeda de las Fuentes	De 85 a 89 años  	1 de enero de 2022	9
Total	28 Madrid	28101 Olmeda de las Fuentes	De 90 a 94 años  	1 de enero de 2022	1
Total	28 Madrid	28101 Olmeda de las Fuentes	De 95 a 99 años  	1 de enero de 2022	0
Total	28 Madrid	28101 Olmeda de las Fuentes	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28102 Orusco de Tajuña	De 65 a 69 años	1 de enero de 2022	58
Total	28 Madrid	28102 Orusco de Tajuña	De 70 a 74 años  	1 de enero de 2022	60
Total	28 Madrid	28102 Orusco de Tajuña	De 75 a 79 años  	1 de enero de 2022	41
Total	28 Madrid	28102 Orusco de Tajuña	De 80 a 84 años  	1 de enero de 2022	37
Total	28 Madrid	28102 Orusco de Tajuña	De 85 a 89 años  	1 de enero de 2022	48
Total	28 Madrid	28102 Orusco de Tajuña	De 90 a 94 años  	1 de enero de 2022	25
Total	28 Madrid	28102 Orusco de Tajuña	De 95 a 99 años  	1 de enero de 2022	7
Total	28 Madrid	28102 Orusco de Tajuña	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28104 Paracuellos de Jarama	De 65 a 69 años	1 de enero de 2022	701
Total	28 Madrid	28104 Paracuellos de Jarama	De 70 a 74 años  	1 de enero de 2022	556
Total	28 Madrid	28104 Paracuellos de Jarama	De 75 a 79 años  	1 de enero de 2022	417
Total	28 Madrid	28104 Paracuellos de Jarama	De 80 a 84 años  	1 de enero de 2022	246
Total	28 Madrid	28104 Paracuellos de Jarama	De 85 a 89 años  	1 de enero de 2022	162
Total	28 Madrid	28104 Paracuellos de Jarama	De 90 a 94 años  	1 de enero de 2022	75
Total	28 Madrid	28104 Paracuellos de Jarama	De 95 a 99 años  	1 de enero de 2022	21
Total	28 Madrid	28104 Paracuellos de Jarama	100 y más años	1 de enero de 2022	4
Total	28 Madrid	28106 Parla	De 65 a 69 años	1 de enero de 2022	6.104
Total	28 Madrid	28106 Parla	De 70 a 74 años  	1 de enero de 2022	4.964
Total	28 Madrid	28106 Parla	De 75 a 79 años  	1 de enero de 2022	2.956
Total	28 Madrid	28106 Parla	De 80 a 84 años  	1 de enero de 2022	1.537
Total	28 Madrid	28106 Parla	De 85 a 89 años  	1 de enero de 2022	889
Total	28 Madrid	28106 Parla	De 90 a 94 años  	1 de enero de 2022	390
Total	28 Madrid	28106 Parla	De 95 a 99 años  	1 de enero de 2022	85
Total	28 Madrid	28106 Parla	100 y más años	1 de enero de 2022	19
Total	28 Madrid	28107 Patones	De 65 a 69 años	1 de enero de 2022	39
Total	28 Madrid	28107 Patones	De 70 a 74 años  	1 de enero de 2022	36
Total	28 Madrid	28107 Patones	De 75 a 79 años  	1 de enero de 2022	17
Total	28 Madrid	28107 Patones	De 80 a 84 años  	1 de enero de 2022	21
Total	28 Madrid	28107 Patones	De 85 a 89 años  	1 de enero de 2022	20
Total	28 Madrid	28107 Patones	De 90 a 94 años  	1 de enero de 2022	21
Total	28 Madrid	28107 Patones	De 95 a 99 años  	1 de enero de 2022	7
Total	28 Madrid	28107 Patones	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28108 Pedrezuela	De 65 a 69 años	1 de enero de 2022	202
Total	28 Madrid	28108 Pedrezuela	De 70 a 74 años  	1 de enero de 2022	174
Total	28 Madrid	28108 Pedrezuela	De 75 a 79 años  	1 de enero de 2022	117
Total	28 Madrid	28108 Pedrezuela	De 80 a 84 años  	1 de enero de 2022	74
Total	28 Madrid	28108 Pedrezuela	De 85 a 89 años  	1 de enero de 2022	66
Total	28 Madrid	28108 Pedrezuela	De 90 a 94 años  	1 de enero de 2022	35
Total	28 Madrid	28108 Pedrezuela	De 95 a 99 años  	1 de enero de 2022	9
Total	28 Madrid	28108 Pedrezuela	100 y más años	1 de enero de 2022	3
Total	28 Madrid	28109 Pelayos de la Presa	De 65 a 69 años	1 de enero de 2022	152
Total	28 Madrid	28109 Pelayos de la Presa	De 70 a 74 años  	1 de enero de 2022	126
Total	28 Madrid	28109 Pelayos de la Presa	De 75 a 79 años  	1 de enero de 2022	105
Total	28 Madrid	28109 Pelayos de la Presa	De 80 a 84 años  	1 de enero de 2022	92
Total	28 Madrid	28109 Pelayos de la Presa	De 85 a 89 años  	1 de enero de 2022	66
Total	28 Madrid	28109 Pelayos de la Presa	De 90 a 94 años  	1 de enero de 2022	22
Total	28 Madrid	28109 Pelayos de la Presa	De 95 a 99 años  	1 de enero de 2022	4
Total	28 Madrid	28109 Pelayos de la Presa	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28110 Perales de Tajuña	De 65 a 69 años	1 de enero de 2022	134
Total	28 Madrid	28110 Perales de Tajuña	De 70 a 74 años  	1 de enero de 2022	97
Total	28 Madrid	28110 Perales de Tajuña	De 75 a 79 años  	1 de enero de 2022	99
Total	28 Madrid	28110 Perales de Tajuña	De 80 a 84 años  	1 de enero de 2022	89
Total	28 Madrid	28110 Perales de Tajuña	De 85 a 89 años  	1 de enero de 2022	54
Total	28 Madrid	28110 Perales de Tajuña	De 90 a 94 años  	1 de enero de 2022	16
Total	28 Madrid	28110 Perales de Tajuña	De 95 a 99 años  	1 de enero de 2022	3
Total	28 Madrid	28110 Perales de Tajuña	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28111 Pezuela de las Torres	De 65 a 69 años	1 de enero de 2022	50
Total	28 Madrid	28111 Pezuela de las Torres	De 70 a 74 años  	1 de enero de 2022	47
Total	28 Madrid	28111 Pezuela de las Torres	De 75 a 79 años  	1 de enero de 2022	29
Total	28 Madrid	28111 Pezuela de las Torres	De 80 a 84 años  	1 de enero de 2022	22
Total	28 Madrid	28111 Pezuela de las Torres	De 85 a 89 años  	1 de enero de 2022	22
Total	28 Madrid	28111 Pezuela de las Torres	De 90 a 94 años  	1 de enero de 2022	12
Total	28 Madrid	28111 Pezuela de las Torres	De 95 a 99 años  	1 de enero de 2022	2
Total	28 Madrid	28111 Pezuela de las Torres	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28112 Pinilla del Valle	De 65 a 69 años	1 de enero de 2022	11
Total	28 Madrid	28112 Pinilla del Valle	De 70 a 74 años  	1 de enero de 2022	17
Total	28 Madrid	28112 Pinilla del Valle	De 75 a 79 años  	1 de enero de 2022	10
Total	28 Madrid	28112 Pinilla del Valle	De 80 a 84 años  	1 de enero de 2022	6
Total	28 Madrid	28112 Pinilla del Valle	De 85 a 89 años  	1 de enero de 2022	7
Total	28 Madrid	28112 Pinilla del Valle	De 90 a 94 años  	1 de enero de 2022	2
Total	28 Madrid	28112 Pinilla del Valle	De 95 a 99 años  	1 de enero de 2022	1
Total	28 Madrid	28112 Pinilla del Valle	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28113 Pinto	De 65 a 69 años	1 de enero de 2022	2.167
Total	28 Madrid	28113 Pinto	De 70 a 74 años  	1 de enero de 2022	1.875
Total	28 Madrid	28113 Pinto	De 75 a 79 años  	1 de enero de 2022	1.336
Total	28 Madrid	28113 Pinto	De 80 a 84 años  	1 de enero de 2022	797
Total	28 Madrid	28113 Pinto	De 85 a 89 años  	1 de enero de 2022	627
Total	28 Madrid	28113 Pinto	De 90 a 94 años  	1 de enero de 2022	261
Total	28 Madrid	28113 Pinto	De 95 a 99 años  	1 de enero de 2022	69
Total	28 Madrid	28113 Pinto	100 y más años	1 de enero de 2022	9
Total	28 Madrid	28114 Piñuécar-Gandullas	De 65 a 69 años	1 de enero de 2022	8
Total	28 Madrid	28114 Piñuécar-Gandullas	De 70 a 74 años  	1 de enero de 2022	9
Total	28 Madrid	28114 Piñuécar-Gandullas	De 75 a 79 años  	1 de enero de 2022	5
Total	28 Madrid	28114 Piñuécar-Gandullas	De 80 a 84 años  	1 de enero de 2022	3
Total	28 Madrid	28114 Piñuécar-Gandullas	De 85 a 89 años  	1 de enero de 2022	11
Total	28 Madrid	28114 Piñuécar-Gandullas	De 90 a 94 años  	1 de enero de 2022	2
Total	28 Madrid	28114 Piñuécar-Gandullas	De 95 a 99 años  	1 de enero de 2022	0
Total	28 Madrid	28114 Piñuécar-Gandullas	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28115 Pozuelo de Alarcón	De 65 a 69 años	1 de enero de 2022	4.298
Total	28 Madrid	28115 Pozuelo de Alarcón	De 70 a 74 años  	1 de enero de 2022	4.177
Total	28 Madrid	28115 Pozuelo de Alarcón	De 75 a 79 años  	1 de enero de 2022	3.301
Total	28 Madrid	28115 Pozuelo de Alarcón	De 80 a 84 años  	1 de enero de 2022	1.996
Total	28 Madrid	28115 Pozuelo de Alarcón	De 85 a 89 años  	1 de enero de 2022	1.327
Total	28 Madrid	28115 Pozuelo de Alarcón	De 90 a 94 años  	1 de enero de 2022	711
Total	28 Madrid	28115 Pozuelo de Alarcón	De 95 a 99 años  	1 de enero de 2022	194
Total	28 Madrid	28115 Pozuelo de Alarcón	100 y más años	1 de enero de 2022	52
Total	28 Madrid	28116 Pozuelo del Rey	De 65 a 69 años	1 de enero de 2022	43
Total	28 Madrid	28116 Pozuelo del Rey	De 70 a 74 años  	1 de enero de 2022	27
Total	28 Madrid	28116 Pozuelo del Rey	De 75 a 79 años  	1 de enero de 2022	20
Total	28 Madrid	28116 Pozuelo del Rey	De 80 a 84 años  	1 de enero de 2022	15
Total	28 Madrid	28116 Pozuelo del Rey	De 85 a 89 años  	1 de enero de 2022	12
Total	28 Madrid	28116 Pozuelo del Rey	De 90 a 94 años  	1 de enero de 2022	7
Total	28 Madrid	28116 Pozuelo del Rey	De 95 a 99 años  	1 de enero de 2022	1
Total	28 Madrid	28116 Pozuelo del Rey	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28117 Prádena del Rincón	De 65 a 69 años	1 de enero de 2022	8
Total	28 Madrid	28117 Prádena del Rincón	De 70 a 74 años  	1 de enero de 2022	3
Total	28 Madrid	28117 Prádena del Rincón	De 75 a 79 años  	1 de enero de 2022	7
Total	28 Madrid	28117 Prádena del Rincón	De 80 a 84 años  	1 de enero de 2022	3
Total	28 Madrid	28117 Prádena del Rincón	De 85 a 89 años  	1 de enero de 2022	8
Total	28 Madrid	28117 Prádena del Rincón	De 90 a 94 años  	1 de enero de 2022	4
Total	28 Madrid	28117 Prádena del Rincón	De 95 a 99 años  	1 de enero de 2022	1
Total	28 Madrid	28117 Prádena del Rincón	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28118 Puebla de la Sierra	De 65 a 69 años	1 de enero de 2022	7
Total	28 Madrid	28118 Puebla de la Sierra	De 70 a 74 años  	1 de enero de 2022	6
Total	28 Madrid	28118 Puebla de la Sierra	De 75 a 79 años  	1 de enero de 2022	5
Total	28 Madrid	28118 Puebla de la Sierra	De 80 a 84 años  	1 de enero de 2022	1
Total	28 Madrid	28118 Puebla de la Sierra	De 85 a 89 años  	1 de enero de 2022	1
Total	28 Madrid	28118 Puebla de la Sierra	De 90 a 94 años  	1 de enero de 2022	0
Total	28 Madrid	28118 Puebla de la Sierra	De 95 a 99 años  	1 de enero de 2022	1
Total	28 Madrid	28118 Puebla de la Sierra	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28902 Puentes Viejas	De 65 a 69 años	1 de enero de 2022	35
Total	28 Madrid	28902 Puentes Viejas	De 70 a 74 años  	1 de enero de 2022	40
Total	28 Madrid	28902 Puentes Viejas	De 75 a 79 años  	1 de enero de 2022	28
Total	28 Madrid	28902 Puentes Viejas	De 80 a 84 años  	1 de enero de 2022	18
Total	28 Madrid	28902 Puentes Viejas	De 85 a 89 años  	1 de enero de 2022	18
Total	28 Madrid	28902 Puentes Viejas	De 90 a 94 años  	1 de enero de 2022	5
Total	28 Madrid	28902 Puentes Viejas	De 95 a 99 años  	1 de enero de 2022	2
Total	28 Madrid	28902 Puentes Viejas	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28119 Quijorna	De 65 a 69 años	1 de enero de 2022	119
Total	28 Madrid	28119 Quijorna	De 70 a 74 años  	1 de enero de 2022	115
Total	28 Madrid	28119 Quijorna	De 75 a 79 años  	1 de enero de 2022	93
Total	28 Madrid	28119 Quijorna	De 80 a 84 años  	1 de enero de 2022	67
Total	28 Madrid	28119 Quijorna	De 85 a 89 años  	1 de enero de 2022	47
Total	28 Madrid	28119 Quijorna	De 90 a 94 años  	1 de enero de 2022	25
Total	28 Madrid	28119 Quijorna	De 95 a 99 años  	1 de enero de 2022	4
Total	28 Madrid	28119 Quijorna	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28120 Rascafría	De 65 a 69 años	1 de enero de 2022	154
Total	28 Madrid	28120 Rascafría	De 70 a 74 años  	1 de enero de 2022	90
Total	28 Madrid	28120 Rascafría	De 75 a 79 años  	1 de enero de 2022	85
Total	28 Madrid	28120 Rascafría	De 80 a 84 años  	1 de enero de 2022	55
Total	28 Madrid	28120 Rascafría	De 85 a 89 años  	1 de enero de 2022	43
