Sexo	Provincias	Municipios	Edad (grupos quinquenales)	Periodo	Total
Total	28 Madrid	28014 Arganda del Rey	De 70 a 74 años  	1 de enero de 2022	1.987
Total	28 Madrid	28014 Arganda del Rey	De 75 a 79 años  	1 de enero de 2022	1.357
Total	28 Madrid	28014 Arganda del Rey	De 80 a 84 años  	1 de enero de 2022	823
Total	28 Madrid	28014 Arganda del Rey	De 85 a 89 años  	1 de enero de 2022	524
Total	28 Madrid	28014 Arganda del Rey	De 90 a 94 años  	1 de enero de 2022	287
Total	28 Madrid	28014 Arganda del Rey	De 95 a 99 años  	1 de enero de 2022	76
Total	28 Madrid	28014 Arganda del Rey	100 y más años	1 de enero de 2022	19
Total	28 Madrid	28015 Arroyomolinos	De 65 a 69 años	1 de enero de 2022	918
Total	28 Madrid	28015 Arroyomolinos	De 70 a 74 años  	1 de enero de 2022	667
Total	28 Madrid	28015 Arroyomolinos	De 75 a 79 años  	1 de enero de 2022	399
Total	28 Madrid	28015 Arroyomolinos	De 80 a 84 años  	1 de enero de 2022	192
Total	28 Madrid	28015 Arroyomolinos	De 85 a 89 años  	1 de enero de 2022	112
Total	28 Madrid	28015 Arroyomolinos	De 90 a 94 años  	1 de enero de 2022	54
Total	28 Madrid	28015 Arroyomolinos	De 95 a 99 años  	1 de enero de 2022	16
Total	28 Madrid	28015 Arroyomolinos	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28016 Atazar, El	De 65 a 69 años	1 de enero de 2022	6
Total	28 Madrid	28016 Atazar, El	De 70 a 74 años  	1 de enero de 2022	2
Total	28 Madrid	28016 Atazar, El	De 75 a 79 años  	1 de enero de 2022	4
Total	28 Madrid	28016 Atazar, El	De 80 a 84 años  	1 de enero de 2022	4
Total	28 Madrid	28016 Atazar, El	De 85 a 89 años  	1 de enero de 2022	4
Total	28 Madrid	28016 Atazar, El	De 90 a 94 años  	1 de enero de 2022	1
Total	28 Madrid	28016 Atazar, El	De 95 a 99 años  	1 de enero de 2022	0
Total	28 Madrid	28016 Atazar, El	100 y más años	1 de enero de 2022	0
